Work item Id,Summary,Work type,Status,Priority,Labels,Description,Parent,Reporter,Assignee,Due date
310,S5-INC-04: Anomalies sidebar route /dashboard/v2/anomalies (Phase 3.A.Anomalies),Story,To Do,Medium,Correlation-Retrieval,"The 'Anomalies' sidebar item opens a real page surfacing the four detective signals already in the platform: Drain3 novel templates from the last N hours, entity-baseline σ-claims from entity_baselines.py, recurrence-gate fires from recurrence_gate.py, adaptive-threshold widened-but-not-fired ratio. Aggregates four existing signals into one sidebar surface. This is the §C predictive-roadmap item #26 from the 2026-05-20 EOD handoff.

Source: monitoring-docs/solution-brief.html §13.4 Phase 3.A.Anomalies. Signals already exist in code; this is mostly UI + aggregation. Story Points (bulk-edit post-import): 3.",301,Lina Laaraich,Lina Laaraich,17/Jun/26
311,S5-CFG-01: Alerts-config surface -- per-operator subscriptions (Phase 3.C.Alerts),Story,To Do,High,Operator-Config,"GET/POST /api/alerts/subscriptions. New table alert_subscriptions(user, alert_pattern, channel, paused_until, mute_reason). Operator can mark 'stop emailing me for MediumCpuUsage on k3s-node' — feeds back into the email gate at pipeline.py:764. Composes naturally with the DA-1 shelved-in-disguise gate; same enforcement point. The 'Alerts' sidebar item now opens a real page.

Source: monitoring-docs/solution-brief.html §13.4 Phase 3.C.Alerts. Story Points (bulk-edit post-import): 8.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
312,S5-CFG-02: Drain3 engine control surface (Phase 3.C.Drain3),Story,To Do,Medium,Operator-Config,"GET/POST /api/drain3/config. Tunable knobs: drain3_alert_rate_threshold, drain3_alert_min_lines, drain3_alert_cooldown_seconds (all in app/config.py today). Plus template approval/rejection — mark a learned template as 'expected, don't fire' or 'always fire when this matches.' Persist to a drain3_template_overrides table. The 'Drain3 engine' sidebar item now opens a real page.

Source: monitoring-docs/solution-brief.html §13.4 Phase 3.C.Drain3. Story Points (bulk-edit post-import): 5.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
313,S5-CFG-03: Integrations management (Phase 3.C.Integrations),Story,To Do,Medium,Operator-Config,"GET/POST /api/integrations. Manages: SMTP credentials, Grafana API key, Slack webhook URL, future PagerDuty/OpsGenie. Today all of these live in environment variables; this surface moves them to a managed config table with rotation history. The 'Integrations' sidebar item now opens a real page.

Source: monitoring-docs/solution-brief.html §13.4 Phase 3.C.Integrations. Secret handling: see SECRETS.md before implementing. Story Points (bulk-edit post-import): 5.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
314,S5-OPS-01: Server-Sent Events / real-time dashboard updates (Phase 4),Story,To Do,Medium,Operator-Config,"Currently the v2 dashboard polls /decisions every 30s via auto-refresh. New endpoint GET /api/decisions/stream using Server-Sent Events; design's auto-refresh becomes push-driven. Operator sees new alerts appear without refresh.

Source: monitoring-docs/solution-brief.html §13.5 Phase 4. Story Points (bulk-edit post-import): 5.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
315,S5-OPS-02: Server-side filter + sort + pagination on /decisions (Phase 4),Story,To Do,Medium,Operator-Config,"The v2 dashboard's column dropdowns currently filter client-side. For larger row counts this needs proper query-param filtering. Adds parameters ?env=&namespace=&service_type=&verdict=&page=&size= to /decisions. Note: ?page=&size= are already wired for v2; this story extends to the per-column filter dimensions.

Source: monitoring-docs/solution-brief.html §13.5 Phase 4. Story Points (bulk-edit post-import): 3.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
316,S5-OPS-03: Operator identity -- Tailscale-bound sessions (Phase 4),Story,To Do,Medium,Operator-Config,"Feedback rows currently have no rater field tied to a real user. Add session cookies + a tiny users table for the Tailscale-authenticated operators. Lets the rate.html page submit 'rater' as a real identity instead of placeholder 'operator' string.

Source: monitoring-docs/solution-brief.html §13.5 Phase 4. Story Points (bulk-edit post-import): 5.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
317,S5-OPS-04: Pre-compile React -- drop Babel-in-browser (Phase 4 polish),Story,To Do,Lowest,Operator-Config,"The v2 dashboard's first paint is ~3 s due to Babel parsing 6 jsx files at runtime. Esbuild pre-compile saves ~2.5 s. Polish item; defer behind operator-facing features unless first-paint complaints emerge.

Source: monitoring-docs/solution-brief.html §13.5 Phase 4. Story Points (bulk-edit post-import): 5.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
318,S5-OPS-05: Platform KPI Grafana dashboard (SF-12),Story,To Do,Medium,Operator-Config,"Separate from the in-app Phase 3.A.KPI page (Sprint 4 id 215). This is a Grafana dashboard for platform-internal health: emails-per-day, false-positive rate (driven by override feedback once SF-7 ships), MTTR-after-page, archetype coverage %, GPU utilization, Lambda autoshutoff hits, RCA quality grade distribution. Most numbers come from /metrics + feedback table; pairs with the EPIC12 capacity-runway candidate (#27 in sprint-history).

Source: monitoring-docs/solution-brief.html §12.4 SF-12 + §13.4 KPI. Story Points (bulk-edit post-import): 3.",302,Lina Laaraich,Lina Laaraich,17/Jun/26
319,S5-OPS-06: Pod-level attribution drill-down on host-saturation alerts (DA-6),Story,To Do,Medium,Correlation-Retrieval,"When the LLM produces a host-CPU or host-memory RCA, it should automatically follow up with a bounded-agency MCP query to identify the dominant consumer pod. Current behavior: names the host saturation, says 'investigate via Grafana.' Better: names the host AND the top-N consumers by name (e.g. 'k3s-node CPU 99.7%, consumer batch-cruncher 3.8 cores').

Surfaced by the 2026-05-21 stress3 audit (production-shape pod names) — the LLM correctly identified host saturation but didn't drill down to the consumer pod. Mechanical fix in app/bounded_agency.py.

Source: monitoring-docs/solution-brief.html §13.4 + stress3 audit findings. Story Points (bulk-edit post-import): 3.",301,Lina Laaraich,Lina Laaraich,17/Jun/26
