Work item Id,Summary,Work type,Status,Priority,Labels,Description,Parent,Reporter,Assignee,Due date
109,S4-PR-03: Hallucination on truncated metric names,Story,To Do,High,RCA-Prose,"Context sanitiser drops any line ending in '(truncated)' or '...]' before LLM sees it. New validator cross-checks cited metric names in RCA prose against app/metrics.py + a known Prometheus exposition registry; rejects RCAs that invent metric names.

Evidence (2026-05-19 live-load investigation): d763a9c9 (2026-04-29) invented cause 'metric \""jvm_threads_daem\"" not being updated correctly' -- jvm_threads_daem is the truncated form of jvm_threads_daemon. The LLM treated a string-truncation artefact as a real component name.
Gate: validator rejects any RCA citing a metric name not in the Prometheus exposition registry; sanitiser drops truncated lines before prompt assembly

Cross-reference: sprint-history.html row 7; FYP report Chapter 11 table row 7. Story Points (bulk-edit post-import): 3.

---
P-tag: P4
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 7",101,Lina Laaraich,Lina Laaraich,03/Jun/26
110,S4-PR-04: Tighter _classify_rca_quality,Story,To Do,High,RCA-Prose,"New 'actionable' bar in app/rca_quality.py: requires (>=1 specific evidence item) AND (named cause in prose) AND (>=1 suggested action OR explicit 'dismiss with reasoning'). The old definition lets thin-evidence RCAs claim actionable; the new MCP get_similar_decisions(min_quality='actionable') is degraded by this.

Evidence (2026-05-19 live-load investigation): 73784801 (Drain3 escalate with no cause), 36c23530 (a dismiss), a4555bdd (16-min on a 2-scrape blip) all tagged actionable -- the label has lost meaning
Gate: rerunning _classify_rca_quality over the last 28 decisions demotes the three sample rows above to needs_review

Cross-reference: sprint-history.html row 8; FYP report Chapter 11 table row 8. Story Points (bulk-edit post-import): 1.

---
P-tag: P11
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 8",101,Lina Laaraich,Lina Laaraich,03/Jun/26
111,S4-PR-05: Corpus reclassification + nightly post-hoc validator,Story,To Do,Medium,RCA-Prose,"Two parts: (1) manual SQL fix to reclassify 0b215ef3 (the 2026-04-29 bad incident) to needs_review and clear its suggested_actions -- ~10 min; (2) nightly APScheduler job that re-runs the current validator over the last 7d of stored RCAs and demotes any that would now fail -- ~3-4 h. Depends on P11 (S4-PR-04) shipping first since the new classifier defines what 'would now fail' means.

Evidence (2026-05-19 live-load investigation): 0b215ef3 is still in rca_history with quality=actionable + the wrong-archetype kubectl OOM remediations on a Kong p95 alert. The new get_similar_decisions(min_quality='actionable') returns it as a positive exemplar.
Gate: 0b215ef3 carries quality=needs_review post-fix; nightly job has run >=1 cycle and the audit log shows demotions

Cross-reference: sprint-history.html row 9; FYP report Chapter 11 table row 9. Story Points (bulk-edit post-import): 3.

---
P-tag: P8
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 9",101,Lina Laaraich,Lina Laaraich,03/Jun/26
112,S4-PR-06: Exemplar prose rewrites + overlap-detection validator,Story,To Do,Medium,RCA-Prose,"Rewrite app/exemplars/library.yaml so each exemplar uses {INSTANCE}, {N}, {TIMESTAMP} placeholders the LLM must substitute with concrete values from gathered context. Add a validator regex: if RCA prose has >80% char overlap with the matched exemplar prose, trigger a retry.

Evidence (2026-05-19 live-load investigation): 2026-05-19 TargetDown RCAs are near-identical to each other and to the exemplar prose -- too much template leakage, not enough adaptation
Gate: two same-archetype RCAs from different fires have <80% char-overlap to each other and to the exemplar; validator catches >80% overlap and triggers retry

Cross-reference: sprint-history.html row 11; FYP report Chapter 11 table row 11. Story Points (bulk-edit post-import): 5.

---
P-tag: P6
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 11",101,Lina Laaraich,Lina Laaraich,03/Jun/26
113,S4-CR-01: US-5.2 Incident correlator -- 4-alert kill-chain RCA collapsed into one email,Story,To Do,Medium,Correlation,"Real outages produce alert clusters; the cluster signature IS the signal. Add a 5-min/15-min co-occurrence detector at the webhook fan-in: when N alerts of related types fire within window W, collapse into a single 'incident' record and run one RCA against the cluster rather than N independent RCAs. Originally Sprint 2 Tier-1 priority; carried forward.

Evidence (2026-05-19 live-load investigation): 4 MediumCpuUsage in 5 min + 4 TargetDown in 15 min on 2026-05-19, all treated independently. None said 'this is the 4th in 5 min -- pattern'.
Gate: a synthetic 4-alert kill-chain produces ONE escalation email with the cluster signature in the subject, not four; the RCA prose names the shared upstream cause

Cross-reference: sprint-history.html row 5; FYP report Chapter 11 table row 5. Story Points (bulk-edit post-import): 8.

---
P-tag: P10
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 5",102,Lina Laaraich,Lina Laaraich,03/Jun/26
114,S4-CR-02: MCP native tool-calling rewrite,Story,To Do,Medium,Correlation,"Replace the prompt-engineered JSON-schema output path with native tool-calling (Ollama's tools API). Smaller prompts -> faster inference (compounds with S4-LAT-01 latency bundle). The GPU-migration gate was removed 2026-05-19 on cost grounds, so this proceeds on the laptop qwen2.5:7b directly. Originally sprint3-backlog #5.

Evidence (2026-05-19 live-load investigation): current bounded-agency retry plus structured-output schema overhead adds ~30% to LLM round-trip latency on observed traces
Gate: round-trip latency on a fixed prompt set drops >=20% vs. the structured-output path; suite still green

Cross-reference: sprint-history.html row 10; FYP report Chapter 11 table row 10. Story Points (bulk-edit post-import): 5.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 10",102,Lina Laaraich,Lina Laaraich,03/Jun/26
115,S4-CR-03: Tier 3 -- Iterative agentic gather (3-iteration tool-call loop with hypothesis-tree state),Story,To Do,Low,Correlation,"Replaces the single-shot bounded_agency retry with a 3-iteration tool-call loop: each iteration produces a partial hypothesis tree the model expands on the next iteration. Hypothesis tree stored in the prompt as a structured section. Termination: confidence threshold reached, max-depth limit hit, or total latency budget exhausted. S3-HF-09 Tier 4 scoreboard now in place (shipped 2026-05-19) so the regression-gate dependency is satisfied.

Evidence (2026-05-19 live-load investigation): single-shot bounded_agency is too constrained for data-starved cases (observed in multiple chaos runs)
Gate: Tier 3 path is feature-flagged; chaos corpus regression gate (S3-HF-09) shows no quality regression at flag-on; latency-budget guard caps tail at 240s

Cross-reference: sprint-history.html row 12; FYP report Chapter 11 table row 12. Story Points (bulk-edit post-import): 13.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 12",102,Lina Laaraich,Lina Laaraich,03/Jun/26
116,S4-CR-04: Curated RAG retrieval (BM25 over feedback-curated YAML),Story,To Do,Low,Correlation,"Once the Epic 2 feedback table has accumulated rated entries: BM25 retrieval over library_curated.yaml supplements the exemplar section with top-K=3 positive + K=2 anti-example matches. Was US-3.4 in Sprint 3 -- gated on feedback volume.

Evidence (2026-05-19 live-load investigation): investigation-window dry-run showed BM25 over the 14-archetype BASE library is degenerate (top-1 always matched exemplars.find_for_alert); enriched library is the actual production scenario
Gate: BM25 top-1 hit on a curated library of >=20 entries is different from exemplars.find_for_alert >=30% of the time on a held-out sample

Cross-reference: sprint-history.html row 13; FYP report Chapter 11 table row 13. Story Points (bulk-edit post-import): 5.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 13",102,Lina Laaraich,Lina Laaraich,03/Jun/26
117,"S4-CR-05: Weekly curation job (APScheduler, Sundays 02:00 UTC)",Story,To Do,Low,Correlation,"APScheduler in-process job; reads the SQLite feedback table for the last 7d; entries above a quality threshold are written as YAML to library_curated.yaml. Was US-3.3 in Sprint 3 -- gated on feedback volume.

Evidence (2026-05-19 live-load investigation): curated retrieval requires a curated source; the curation has to be automatic to stay fresh
Gate: weekly job has run >=1 cycle in production; library_curated.yaml exists and contains >=20 entries

Cross-reference: sprint-history.html row 14; FYP report Chapter 11 table row 14. Story Points (bulk-edit post-import): 3.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 14",102,Lina Laaraich,Lina Laaraich,03/Jun/26
118,S4-CR-06: Pod-level alert rule fixes (memory cgroup-churn + CPU label mismatch),Story,To Do,Low,Correlation,"Two query bugs noted at Sprint 3 ship time: (a) PodHighMemoryUsage cumulative expression doesn't aggregate across cgroup restarts -- container restart churn splits the timeseries; (b) PodHighCpuUsage has a label-mismatch between numerator/denominator. ~30 min each.

Evidence (2026-05-19 live-load investigation): Sprint 3 chaos Run 4 (2026-04-28 PM) captured 0/2 for these alerts because of these query bugs
Gate: both rules fire correctly in a fresh chaos run; PodHighMemoryUsage stays firing across a synthetic OOMKill loop

Cross-reference: sprint-history.html row 16; FYP report Chapter 11 table row 16. Story Points (bulk-edit post-import): 1.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 16",102,Lina Laaraich,Lina Laaraich,03/Jun/26
119,S4-CR-07: O-9 webhook auth + O-10 nightly RCA-history S3 backup,Story,To Do,Medium,Correlation,"Friday-slot hardening, previously overdue: (a) O-9 -- HMAC signature validation on /webhook/grafana (rejects un-signed requests); (b) O-10 -- nightly mysqldump of rca_history -> s3://cires-observability-demo-*/backups/rca_history/YYYY-MM-DD.sql.gz with 30-day retention. ~30 min each.

Evidence (2026-05-19 live-load investigation): webhook is open to any caller on the tailnet; rca_history has no off-site backup -- single PVC failure = total decision-corpus loss
Gate: /webhook/grafana rejects unsigned requests with 401; s3://.../backups/rca_history/ has >=1 .sql.gz from the last 24h

Cross-reference: sprint-history.html row 17; FYP report Chapter 11 table row 17. Story Points (bulk-edit post-import): 1.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 17",102,Lina Laaraich,Lina Laaraich,03/Jun/26
120,S4-CR-08: Sentence-transformers retriever (RAG fallback),Story,To Do,Low,Correlation,"Only if BM25 (S4-CR-04) underperforms in A/B against the curated library. Adds sentence-transformers/all-MiniLM-L6-v2 as an alternate retriever; quality-graded fallback when BM25 misses.

Evidence (2026-05-19 live-load investigation): BM25 is a coarse retriever; curated YAML is small but heterogeneous -- semantic similarity might beat lexical overlap on near-misses
Gate: A/B over the 28-decision sample: sentence-transformers vs BM25 top-K=3; pick the winner. SKIP if BM25 is the winner.

Cross-reference: sprint-history.html row 18; FYP report Chapter 11 table row 18. Story Points (bulk-edit post-import): 5.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 18",102,Lina Laaraich,Lina Laaraich,03/Jun/26
121,S4-CR-09: Trace-ID linkage from log anomalies,Story,To Do,Low,Correlation,"When a Drain3 anomaly fires, scan the affected log lines for trace_id patterns and jump to the corresponding Jaeger trace for richer context. Originally sprint3-backlog #2a.

Evidence (2026-05-19 live-load investigation): log anomalies and trace anomalies are currently two parallel streams; linking them surfaces the underlying request boundary
Gate: for log lines containing a trace_id, the RCA carries a deep_trace field with the matched trace_id (>=80% extraction success in test corpus)

Cross-reference: sprint-history.html row 19; FYP report Chapter 11 table row 19. Story Points (bulk-edit post-import): 2.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 19",102,Lina Laaraich,Lina Laaraich,03/Jun/26
122,S4-CR-10: RCA playbook templates,Story,To Do,Low,Correlation,"Per-alert-type playbook templates that the LLM populates rather than free-forms. Originally sprint3-backlog #2b. Complements Epic 2 feedback work -- rated playbooks become the curation source.

Evidence (2026-05-19 live-load investigation): current RCA prose is free-form against an exemplar; structured playbooks would constrain hallucination further on common alert types
Gate: >=4 playbook templates exist for the most-common alert types; LLM uses them when the alert type matches; chaos run scores >=0.85 mean cause-named on those alert types

Cross-reference: sprint-history.html row 20; FYP report Chapter 11 table row 20. Story Points (bulk-edit post-import): 3.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 20",102,Lina Laaraich,Lina Laaraich,03/Jun/26
123,S4-CR-11: US-5.7 Labelled corpus expansion + F1 tracking,Story,To Do,Medium,Correlation,"Builds on S3-HF-09's seed corpus (the 0b215ef3 incident itself): expand the labelled set to >=30 incidents and track precision / recall / F1 of the validator + classifier against the labels weekly. Pair with S4-CR-04 / S4-CR-05 for measurement coverage.

Evidence (2026-05-19 live-load investigation): S3-HF-09 shipped the scoreboard mechanism + seed; without an expanded labelled corpus, the scoreboard is undersampled
Gate: labelled corpus >= 30 incidents; weekly F1 calculation runs and publishes to Grafana

Cross-reference: sprint-history.html row 21; FYP report Chapter 11 table row 21. Story Points (bulk-edit post-import): 3.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 21",102,Lina Laaraich,Lina Laaraich,03/Jun/26
124,S4-CR-12: L2/L3 chaos scenarios (O-12),Story,To Do,Low,Correlation,"Two additional chaos test classes beyond the current L1 set: L2 (network partition between services) and L3 (cascading failure -- downstream OOM triggers upstream timeout cascade).

Evidence (2026-05-19 live-load investigation): current chaos harness exercises L1 (single-service fault) scenarios; real outages tend to involve cascade dynamics
Gate: two new chaos scenario classes in monitoring-project/playbooks; chaos-run reports cover them; chaos scorer 5-axis output captures the new behaviour

Cross-reference: sprint-history.html row 22; FYP report Chapter 11 table row 22. Story Points (bulk-edit post-import): 5.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 22",102,Lina Laaraich,Lina Laaraich,03/Jun/26
125,S4-CR-13: Drain3 self-monitoring loop allowlist,Story,To Do,Low,Correlation,"30-min fix: extend the Drain3 polling layer with a service_name allowlist that excludes the triage service itself from its own anomaly detection (currently the Drain3 anomaly stream sometimes self-reports on the triage service's own log volume).

Evidence (2026-05-19 live-load investigation): behavioural concern surfaced 2026-04-29 -- Drain3 firing on the triage service's own logs creates a self-reflexive loop
Gate: Drain3 poller skips service_name in the configured allowlist; triage service is in the default allowlist

Cross-reference: sprint-history.html row 23; FYP report Chapter 11 table row 23. Story Points (bulk-edit post-import): 1.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 23",102,Lina Laaraich,Lina Laaraich,03/Jun/26
126,S4-CR-14: Doc debt -- CLAUDE.md refresh + stale architecture PNGs replaced,Story,To Do,Low,Correlation,"monitoring-project/CLAUDE.md last touched 2026-04 -- needs a refresh to reflect Sprint 3 close-out reality (Epic 4 closed, MCP-only invariant + CI lint, deep_trace path). Architecture PNGs in monitoring-docs are pre-AI-RCA -- redraw to show the current 5-MCP topology.

Evidence (2026-05-19 live-load investigation): doc-vs-code drift; carried in audit reports across multiple weeks
Gate: CLAUDE.md committed with current content; 2 architecture PNGs replaced with current diagrams; audit report's doc-drift list clears these two items

Cross-reference: sprint-history.html row 24; FYP report Chapter 11 table row 24. Story Points (bulk-edit post-import): 2.

---
P-tag: — (carry-forward from sprint3-backlog.md)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 24",102,Lina Laaraich,Lina Laaraich,03/Jun/26
127,S4-HF-01: Widen bounded-agency trigger to low-confidence + clamp-fired verdicts (not just data_starved),Story,To Do,High,Latency,"Widen the bounded-agency 6-tool retry trigger so the system iterates on get_trace / prometheus.query / loki.query_range itself instead of emitting hint text via clamp_actions.py:diagnostic_steps_for_clamp('Open Jaeger and inspect the slowest trace...').

Acceptance criteria:
- Widen gate in app/pipeline.py:453-456 (should_retry_for_quality). New condition: data_starved OR (first_pass_confidence < 0.55 AND F-4 clamp fired) OR (suggested_actions == [] AND verdict in {dismiss, escalate})
- Per-alert-family tool steering in agency prompt (extend TOOLS_DESCRIPTION at bounded_agency.py:98): latency-family -> jaeger.get_traces + prometheus.query range; resource-family (PodHigh*, *MemoryUsage, *CpuUsage) -> prometheus.query topk + jaeger.get_traces; availability -> prometheus.query on up{} + loki.query_range
- Cost ceiling preserved: max 1 extra LLM+tool iteration per alert
- Metric: existing triage_bounded_agency_invocations_total gains a 'trigger' label with values data_starved | low_confidence | empty_actions
- New setting triage_low_confidence_retry_enabled (default True) -- killable independent of triage_bounded_agency_enabled
- Tests: extend tests/test_bounded_agency.py with 3 new fixtures (one per family) asserting trigger label + tool whitelist matches family

Out of scope: Tier 3 hypothesis-tree state (multi-tool loops -- separate story S4-CR-03). This is the cheap widen-the-gate fix, not the deferred agentic rewrite.

Files touched: app/pipeline.py:443-456 (trigger), app/bounded_agency.py:98 (TOOLS_DESCRIPTION family hints), app/metrics.py (trigger label), app/config.py (new flag), tests/test_bounded_agency.py.

Evidence (2026-05-19 live-load investigation): PodHighMemoryUsage RCA on 2026-05-20 was clamped to 0.40 confidence; F-4 clamp fired; clamp_actions populated diagnostic verbs telling the operator to investigate via Jaeger. The system already has Jaeger/Prometheus/Loki access via the 6-tool whitelist in app/bounded_agency.py:88-95 -- the retry just never fires for memory/cpu alerts because they don't reach data_starved, they reach low-confidence-but-non-empty.
Gate: Replay the 2026-05-20 PodHighMemoryUsage decision through the patched pipeline. New RCA must cite at least one concrete span line (from jaeger.get_traces) OR a per-pod topk row (from prometheus.query), NOT just diagnostic_steps_for_clamp's hint text. Tier 0 clamp + diagnostic_steps remain the safety net for retries that still fail.

Cross-reference: sprint-history.html row 25; FYP report Chapter 11 table row 25. Story Points (bulk-edit post-import): 3.

---
P-tag: (no P-number -- surfaced 2026-05-20 chat)
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 25",100,Lina Laaraich,Lina Laaraich,03/Jun/26
