Work item Id,Summary,Work type,Status,Priority,Labels,Description,Sprint,Story Points,Parent,Reporter,Assignee,Due date
S3-CO-07,Exemplar library + RCA prose philosophy (D17/D18/D19),Story,Done,High,RCA-Quality,"D17: 11-archetype exemplar library at app/exemplars/library.yaml -- pipeline injects the best-matching exemplar into every LLM prompt.
D18: suggested-actions philosophy rewrite -- ""remediations, not investigations.""
D19: RCA prose philosophy -- telemetry as means not end; matching surface-only LEDE validators.

---
Story Points: 5
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO7 (sprint3-plan.md)",SCRUM Sprint 3,5,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-08,Dashboard redesign + operator guide,Story,Done,Medium,RCA-Quality,"Figma-aligned, dark-by-default, sage-themed /dashboard with /dashboard/guide as the operator manual. Replaces the prior plain-table view.

---
Story Points: 3
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO8 (sprint3-plan.md)",SCRUM Sprint 3,3,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-09,Pod-level alert rules PodHighMemoryUsage / PodHighCpuUsage,Story,Done,Medium,RCA-Quality,"New kubernetes_alerts group: PodHighMemoryUsage (working_set / limit > 85% for 2m) + PodHighCpuUsage (rate / quota > 80% for 2m). Both filter to namespace=app, container=spring-boot. Closes the host-level vs pod-level visibility gap.

Two query bugs surfaced in chaos run 4 -- filed as Sprint 4 follow-ups: memory cgroup-churn aggregation + CPU label-mismatch.

---
Story Points: 3
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO9 (sprint3-plan.md)",SCRUM Sprint 3,3,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-10,Chaos test harness,Story,Done,Medium,RCA-Quality,"monitoring-project/scripts/chaos/ -- runner.py, lib/{ssh_actions, decision_poller, rca_scorer}.py, tests/{base, target_down, high_memory_usage, high_cpu_usage, drain3_anomaly}.py. Runs from controller via Tailscale; SSH+kubectl into pods, induces failure, polls /decisions, scores RCA on 4 axes, regenerates monitoring-docs/chaos-report HTML.

S3-HF-09 will extend the scorer with a 5th binary axis cited_injected_cause.

---
Story Points: 5
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO10 (sprint3-plan.md)",SCRUM Sprint 3,5,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-11,Daily audit feeds (static + live),Story,Done,Medium,RCA-Quality,"Two automated audit pipelines firing daily at 12:00 UTC.

Static: Anthropic cloud /schedule routine, clones 6 repos, runs pytest + 8-section drift checklist, pushes audits/YYYY-MM-DD.md to private repo.

Live: controller cron, fires 3 synthetic webhooks at adolin-wsl:8090, runs mechanical checks + claude -p grading, writes audits/YYYY-MM-DD-live.md.

---
Story Points: 3
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO11 (sprint3-plan.md)",SCRUM Sprint 3,3,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-12,Audit repo migrations + history scrub,Story,Done,Low,RCA-Quality,"Three manual audit pages migrated from public monitoring-docs to private monitoring-audit-results: rca-quality-audit, full-sweep audit, HighP95Latency investigation. SESSION_HANDOFF.md history scrubbed from public monitoring-docs via git filter-repo.

---
Story Points: 2
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO12 (sprint3-plan.md)",SCRUM Sprint 3,2,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-13,Codify policy.py + bypass_llm.yaml,Story,To Do,Low,RCA-Quality,"Cleanup-only: extract the existing rule/LLM ordering into an explicit app/policy.py with three labeled branches (rule-bypass, rule+LLM, LLM-only fallback) and a bypass_llm.yaml of high-confidence patterns where deterministic action is sufficient. Behavior unchanged -- code organization only.

---
Story Points: 1
Estimate: 0.25 day
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO13 (sprint3-plan.md)",SCRUM Sprint 3,1,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-FB-01,Extend feedback schema + endpoint + 4 MCP tools,Story,To Do,High,Feedback,"As an operator, I need to thumbs-up/down individual decisions and tag what was wrong, so future RCAs can learn from my feedback.

Approach: extend the existing US-5.3 feedback table -- do NOT create v2. Adds operator-quality-vote alongside the existing override/confirm behavioral signal.

Acceptance Criteria:
- Schema migration in app/rca_store.py:_init_schema (idempotent ALTER TABLE):
  - feedback ADD COLUMN rating TEXT (CHECK rating IN ('up','down') OR NULL)
  - feedback ADD COLUMN tags TEXT (JSON array, only when rating='down')
  - feedback ADD COLUMN actual_root_cause TEXT (only when rating='down', optional)
  - feedback ADD COLUMN comment TEXT
  - feedback ADD COLUMN rater TEXT
- New endpoint POST /decisions/{id}/feedback with RatingFeedbackRequest Pydantic schema
- Validation: tags + actual_root_cause rejected when rating=='up'; tags must be subset of 5 allowed enum values (wrong_severity, wrong_root_cause, wrong_evidence, wrong_action, missing_context)
- 4 read-only MCP tools on monitoring-mcp-servers/rca_history_mcp/main.py (combined with S3-HF-06 work to land in one PR):
  - get_feedback_stats -- counts by rating, top tags, rater frequency
  - get_high_rated_examples(limit, since_days) -- up-rated decisions for prompt injection
  - get_similar_decisions(alert_name, days, min_quality, min_confidence) -- quality-filtered (replaces direct-DB call in S3-HF-05)
  - get_low_rated_examples_for_alert(alert_name, days) -- anti-examples
- Existing US-5.3 endpoints unaffected; feedback_type stays for the override/confirm path

Files: app/rca_store.py, app/models.py, app/main.py, tests/test_feedback_rating.py, monitoring-mcp-servers/rca_history_mcp/main.py.

Done when: migration is idempotent; endpoint rejects invalid combos; all 4 MCP tools return sane stats over a seeded test DB.

---
Story Points: 4
Estimate: 1 day
Epic: Epic 6 -- Operator feedback loop
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.1 (sprint3-plan.md)
Blocks: S3-FB-02
Blocked by: (none)",SCRUM Sprint 3,4,EPIC6,Lina Laaraich,Lina Laaraich,08/May/26
S3-FB-02,Operator rating UI,Story,To Do,High,Feedback,"As an operator, I need a minimal web form to thumbs-up/down a decision and add a tag/comment, so I can give feedback in 10 seconds without leaving the email or dashboard.

Acceptance Criteria:
- Vanilla-JS form (no framework) at app/static/rate.html
- Decision context block (alert name, RCA prose, verdict) fetched via GET /decisions/{id}
- Big up/down buttons; on down: 5 tag chips (multi-select) + textarea for actual_root_cause + textarea for comment
- Submit calls POST /decisions/{id}/feedback (S3-FB-01 endpoint)
- Success state with one-line confirmation
- Email integration: app/email_renderer.py appends a ""Rate this decision"" link with ?rate=1 to the decision URL
- Dashboard ""Rate"" button on decision-detail panel opens rate.html?id=<decision_id>

Files: app/static/rate.html, app/static/rate.css, app/email_renderer.py, app/main.py (serve static), dashboard panel template.

Done when: email link -> form -> submit -> row in feedback table -> confirmation. Dashboard ""Rate"" link works for any decision listed.

---
Story Points: 2
Estimate: 0.5 day
Epic: Epic 6 -- Operator feedback loop
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.2 (sprint3-plan.md)
Blocked by: S3-FB-01",SCRUM Sprint 3,2,EPIC6,Lina Laaraich,Lina Laaraich,08/May/26
S3-FB-03,Feedback observability,Story,To Do,Medium,Feedback,"As an SRE, I need Prometheus metrics + a Grafana panel for feedback volume so I can see whether operators are actually rating decisions.

Acceptance Criteria:
- New Prometheus metrics in app/metrics.py:
  - feedback_total{rating}
  - feedback_tag_total{tag}
- New panel on triage-service-health Grafana dashboard: feedback volume + tag breakdown
- Dashboard JSON committed to git

Files: app/metrics.py, roles/grafana/templates/dashboards/triage-service-health.json.

Done when: panel renders with non-zero data after first 24h post-launch.

---
Story Points: 1
Estimate: 0.25 day
Epic: Epic 6 -- Operator feedback loop
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.5 (sprint3-plan.md)
Blocked by: S3-FB-01 (needs the metrics)",SCRUM Sprint 3,1,EPIC6,Lina Laaraich,Lina Laaraich,08/May/26
S3-DR-01,Scheduled snapshots + boot-time restore,Story,To Do,High,Drain3,"As a platform engineer, I need the Drain3 baseline to survive pod restarts and replicate to S3 on a schedule, so a fresh pod doesn't have to relearn templates from scratch.

Acceptance Criteria:
- app/config.py additions:
  - drain3_s3_bucket: str = """" (empty disables S3 lifecycle)
  - drain3_s3_snapshot_interval: int = 3600 (seconds)
  - drain3_s3_prefix: str = ""drain3""
- In app/main.py:lifespan():
  - Boot-time: if drain3_s3_bucket set AND local persistence file missing/empty, call existing download_baseline_from_s3() BEFORE seed_from_loki()
  - Periodic: APScheduler job calls upload_snapshot_to_s3() every drain3_s3_snapshot_interval seconds; no-op when bucket empty
- All five S3 functions already exist in drain_analyzer.py
- Add apscheduler to requirements.txt

Files: app/config.py, app/main.py (lifespan), tests/test_drain3_lifecycle.py.

Done when: fresh pod on fresh PVC + bucket with a known-good baseline -> pod boots with the baseline loaded; total_clusters > 0 immediately; scheduled snapshot fires once within first interval.

---
Story Points: 3
Estimate: 0.75 day
Epic: Epic 7 -- Drain3 baseline lifecycle
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.6 (sprint3-plan.md)
Blocks: S3-DR-02
Blocked by: (none) -- S3 functions already exist",SCRUM Sprint 3,3,EPIC7,Lina Laaraich,Lina Laaraich,08/May/26
S3-DR-02,Operator-facing Drain3 endpoints,Story,To Do,Medium,Drain3,"As an on-call engineer, I need three buttons -- ""snapshot now"", ""this is healthy, save it"", ""restore the last known-good"" -- so I can manage the Drain3 baseline without SSH or AWS console.

Acceptance Criteria:
- Three new HTTP endpoints on the triage service:
  - POST /drain3/snapshot wraps upload_snapshot_to_s3()
  - POST /drain3/baseline/tag wraps tag_known_good() (the ""this is healthy"" button)
  - POST /drain3/baseline/restore wraps download_baseline_from_s3() + reinit miner
- /drain3/stats extended with: last_snapshot_uploaded_at, last_baseline_restored_at, s3_bucket_configured

Files: app/main.py, tests/test_drain3_endpoints.py.

Done when: operator runbook in monitoring-docs/build-guide.html shows ""tag baseline"" -> 200 -> snapshot file exists in S3 with known-good-YYYY-MM-DD.bin key.

---
Story Points: 2
Estimate: 0.5 day
Epic: Epic 7 -- Drain3 baseline lifecycle
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.7 (sprint3-plan.md)
Blocked by: S3-DR-01",SCRUM Sprint 3,2,EPIC7,Lina Laaraich,Lina Laaraich,08/May/26
S3-DR-03,IAM policy + Grafana visibility for Drain3 S3,Story,To Do,Low,Drain3,"As an SRE, I need a Grafana panel showing snapshot age so I can see at a glance whether the baseline is fresh.

Acceptance Criteria:
- IAM policy update on existing cires-observability-demo-* bucket: grant s3:PutObject + s3:GetObject + s3:ListBucket to the laptop's IAM principal (or static access-key IAM user used by the triage service)
- Grafana panel on triage-service-health dashboard: snapshot age (now - last_snapshot_uploaded_at) + time since last tag_known_good

Files: provisioning-monitoring-infra/iam.tf (or new s3-policies.tf), roles/grafana/templates/dashboards/triage-service-health.json.

Done when: Grafana panel renders snapshot age post-launch.

---
Story Points: 1
Estimate: 0.25 day
Epic: Epic 7 -- Drain3 baseline lifecycle
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.8 (sprint3-plan.md)
Blocked by: S3-DR-01, S3-DR-02",SCRUM Sprint 3,1,EPIC7,Lina Laaraich,Lina Laaraich,08/May/26
S3-HF-01,Tier 0 -- F-4 clamp strips actions + emits diagnostic_steps,Story,Done,Highest,Hallucination-Firewall,"As an SRE, I need the F-4 confidence clamp to strip templated/untrustworthy suggested_actions and replace them with read-only diagnostic verbs, so a clamped 0.40 decision can never email kubectl rollout/scale/set commands.

Trigger: 2026-04-29 HighKongP95Latency 0b215ef3 incident emailed kubectl set resources --limits=memory=2Gi + kubectl rollout restart deploy/spring-boot at 0.40 confidence. F-4 had clamped confidence but did NOT strip the bad actions.

Acceptance Criteria:
- LLMDecision gains diagnostic_steps: list[str] field with the existing list-coercion validator
- RCARecord gains diagnostic_steps: Optional[str] (JSON list)
- New app/clamp_actions.py module with diagnostic_steps_for_clamp(alert, rca, quality, actions_source) -> list[str]:
  - Alert-aware: HighKongP95Latency -> upstream-vs-proxy PromQL pivot; HighP95Latency on spring-boot -> hikari + JVM GC pivots; *MemoryUsage/PodHigh* -> topk container_memory pivot; TargetDown -> kube events pivot; Drain3AnomalyDetected -> read template lines (no metric invention)
  - Always ends with explicit ""Do NOT run kubectl rollout/scale/set on `{service}` until a specific cause is named""
  - Read-only: no kubectl rollout/scale/set/patch/delete, no systemctl restart, no docker restart
- pipeline.py Step 6d: when clamp fires, also strip suggested_actions and populate diagnostic_steps. Evidence preserved verbatim so quality classifier doesn't drop to needs_review
- pipeline.py Step 7: persist diagnostic_steps in RCARecord
- rca_store.py: column migration + INSERT slot + JSON-decode at /decisions API boundary
- notifier.py: new ""Diagnostic steps -- read-only; investigate before remediating"" card; ""Withheld"" explanation in Suggested actions card when clamp stripped them
- Tests: 24 new tests across tests/test_clamp_actions.py (8), tests/test_pipeline_clamp.py (6), tests/test_action_templates.py (5 defensive), tests/test_confidence_clamp_f4.py (5 unchanged for legacy path)

Validation case: replay decision 0b215ef3-74fa-4e1f-88a4-057437f04d0e through patched pipeline. Assert: confidence=0.40, suggested_actions=[], diagnostic_steps[0].startswith(""Open Jaeger""), no kubectl substring anywhere.

Shipped 2026-04-29 in commit b0f1d0c on monitoring-triage-service:main. Suite 178 -> 204, zero regressions.

---
Story Points: 1
Estimate: 0.25 day (actual: ~3 hours including investigation)
Epic: Epic 8 -- Hallucination firewall + trace depth
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.9 (sprint3-plan.md)
Tier: 0 (immediate stop-the-bleeding)
Blocked by: (none)",SCRUM Sprint 3,1,EPIC8,Lina Laaraich,Lina Laaraich,29/Apr/26
S3-HF-02,Defensive tests for HighKongP95Latency template lookup,Story,Done,Highest,Hallucination-Firewall,"Originally framed as ""bug: HighKongP95Latency wrong-archetype lookup"" after the 0b215ef3 incident emailed kubectl set resources --limits=memory=2Gi + kubectl rollout restart deploy/spring-boot. Investigation 2026-04-29 confirmed the template lookup is FINE: HighKongP95Latency rule at suggested_actions.yaml line 133 returns Kong-targeting actions; the OOMKill template at line 64-77 only matches ^(High|Medium|Critical)MemoryUsage$. The bad 0b215ef3 actions came from the LLM directly (decision.suggested_actions was non-empty so fill_template never fired).

Reframed as defensive tests: pin the regex boundary so future YAML edits can't introduce wrong-archetype keying. Actual remediation for LLM-side bad actions lives in S3-HF-01 (Tier 0 strip).

Acceptance Criteria:
- New tests/test_action_templates.py with 5 defensive tests:
  - test_high_kong_p95_latency_returns_kong_targeted_actions: HighKongP95Latency MUST target kong-kong, NOT contain memory=2Gi --requests=memory=1Gi signature
  - test_high_memory_usage_returns_oomkill_template: confirm OOMKill template fires for HighMemoryUsage (its actual alertname)
  - test_high_p95_latency_first_action_is_not_unconditional_memory_bump: first action is rollout restart (connection pool play); memory bump must be conditional ('If ...')
  - test_oomkill_template_does_not_match_kong_or_latency_alertnames: regex boundary pin (HighKongP95Latency, HighP95Latency, HighMemoryUsageButNotReally, MyHighMemoryUsage all rejected)
  - test_high_kong_p95_does_not_target_spring_boot_in_template: defense in depth across service label variants

Shipped 2026-04-29 in commit b0f1d0c.

---
Story Points: 1
Estimate: 0.25 day
Epic: Epic 8 -- Hallucination firewall + trace depth
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.10 (sprint3-plan.md)
Blocked by: (none)",SCRUM Sprint 3,1,EPIC8,Lina Laaraich,Lina Laaraich,29/Apr/26
S3-HF-03,Tier 2 -- Hypothesis-menu validator + cause-evidence rule,Story,To Do,High,Hallucination-Firewall,"As an SRE, I need the validator to reject RCAs that list possibilities without committing (""possibly X or Y"", ""may be due to"") and RCAs whose named cause shares no token with the evidence list, so the LLM is forced to commit to one diagnosis or admit data starvation.

Acceptance Criteria:
- Add _HYPOTHESIS_MENU_PATTERNS to app/response_validator.py:
  - ""possibly X or Y"", ""either A or B"", ""may be due to (a slow query|pool saturation|GC)"", ""could be one of""
  - Avoid FP on legitimate ""or""-prose by requiring 5+ words on either side
- Add cause-must-share-token-with-evidence rule:
  - Tokenize RCA's first sentence (4+ char words, lowercased)
  - Tokenize decision.evidence list
  - Fail if intersection minus stopwords (this/that/with/from/have/service/alert/metric) is empty
- Both rules ship aggressive behind feature flag triage_hypothesis_menu_strict (default True)
- New Prometheus metric triage_validator_retries_total{reason} so we can dial back if FP rate exceeds 5%
- Hits trigger the existing retry path (pipeline.py:444-566); Tier 0 clamp (S3-HF-01) is the safety net for retries that still fail
- 8+ new test cases in tests/test_response_validator.py covering FP/TP boundaries

Validation case: replay 0b215ef3 RCA -> should_retry=True due to ""hypothesis-menu"" hit on ""possibly a regressed query or saturated connection pool"".

---
Story Points: 2
Estimate: 0.5 day
Epic: Epic 8 -- Hallucination firewall + trace depth
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.11 (sprint3-plan.md)
Tier: 2 (validator backstop)
Blocked by: (none)",SCRUM Sprint 3,2,EPIC8,Lina Laaraich,Lina Laaraich,08/May/26
S3-HF-04,MCP integrity -- Route entity_baselines through prometheus_mcp,Story,To Do,High,Hallucination-Firewall,"As an architect, I need every Prometheus query the LLM sees to flow through prometheus_mcp -- not direct httpx calls -- so the MCP-only invariant (the hallucination firewall) holds without exception.

Trigger: app/entity_baselines.py:144 calls httpx.AsyncClient.get(prometheus_url + ""/api/v1/query"") directly. Found 2026-04-29 during 0b215ef3 incident analysis as one of three MCP-bypass code paths.

Acceptance Criteria:
- Refactor app/entity_baselines.py to call prometheus_mcp instead of direct httpx
- Verify existing prometheus_mcp /tools/query covers quantile_over_time(...[7d]) efficiently; if not, extend MCP tool surface with a dedicated endpoint
- Update get_baseline() call site in app/pipeline.py:360-390 to pass MCP URL not raw Prometheus URL
- All baseline fetches show up in prometheus_mcp request logs (observable)
- This story also closes S3-CO-02 (US-5.1 Phase B verification): once baselines flow through MCP traffic, baseline-sigma claims in real RCAs become directly verifiable from MCP logs

Files: app/entity_baselines.py, app/pipeline.py, app/config.py (URL setting), possibly monitoring-mcp-servers/prometheus_mcp/main.py.

Done when: zero httpx calls in entity_baselines.py; baseline fetches visible in prometheus_mcp request logs; existing baseline tests pass.

---
Story Points: 1
Estimate: 0.25 day
Epic: Epic 8 -- Hallucination firewall + trace depth
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3.12 (sprint3-plan.md)
Blocks: S3-CO-02 (verification dependency)
Blocked by: (none)",SCRUM Sprint 3,1,EPIC8,Lina Laaraich,Lina Laaraich,08/May/26
